nm, %R
1650.000000, 69.488851
1646.000000, 65.559879
1642.000000, 66.841803
1638.000000, 66.051683
1634.000000, 68.031258
1630.000000, 73.238847
1626.000000, 77.371557
1622.000000, 82.551278
1618.000000, 86.104397
1614.000000, 89.014839
1610.000000, 89.807631
1606.000000, 91.119885
1602.000000, 91.409076
1598.000000, 92.175992
1594.000000, 92.569061
1590.000000, 93.189427
1586.000000, 92.971513
1582.000000, 93.227045
1578.000000, 93.170490
1574.000000, 93.811044
1570.000000, 94.417952
1566.000000, 93.619776
1562.000000, 94.132469
1558.000000, 93.790819
1554.000000, 94.361497
1550.000000, 93.434326
1546.000000, 93.345299
1542.000000, 93.166510
1538.000000, 93.229231
1534.000000, 93.077942
1530.000000, 92.642363
1526.000000, 92.664624
1522.000000, 92.302229
1518.000000, 92.439347
1514.000000, 92.087417
1510.000000, 91.961776
1506.000000, 91.398564
1502.000000, 91.643513
1498.000000, 91.051081
1494.000000, 90.271590
1490.000000, 89.586035
1486.000000, 89.839233
1482.000000, 89.560851
1478.000000, 88.836896
1474.000000, 89.057327
1470.000000, 87.998346
1466.000000, 88.245905
1462.000000, 87.513612
1458.000000, 87.086562
1454.000000, 86.373524
1450.000000, 86.131057
1446.000000, 85.433832
1442.000000, 84.930440
1438.000000, 84.543069
1434.000000, 83.862416
1430.000000, 83.919788
1426.000000, 83.631979
1422.000000, 83.558342
1418.000000, 82.279179
1414.000000, 81.196044
1410.000000, 80.780915
1406.000000, 83.358424
1402.000000, 84.253227
1398.000000, 84.549827
1394.000000, 84.185391
1390.000000, 84.523976
1386.000000, 86.477740
1382.000000, 87.153467
1378.000000, 88.143867
1374.000000, 89.048063
1370.000000, 90.633531
1366.000000, 91.328890
1362.000000, 92.722629
1358.000000, 92.772928
1354.000000, 93.140880
1350.000000, 92.904958
1346.000000, 93.238257
1342.000000, 93.993445
1338.000000, 94.503893
1334.000000, 94.783322
1330.000000, 94.912508
1326.000000, 94.887271
1322.000000, 95.032557
1318.000000, 95.299224
1314.000000, 95.411334
1310.000000, 95.609244
1306.000000, 95.478741
1302.000000, 95.412368
1298.000000, 95.665790
1294.000000, 96.049997
1290.000000, 95.966643
1286.000000, 95.733795
1282.000000, 95.525564
1278.000000, 95.552956
1274.000000, 95.359962
1270.000000, 95.253379
1266.000000, 94.925856
1262.000000, 94.567292
1258.000000, 94.277712
1254.000000, 94.199339
1250.000000, 93.844598
1246.000000, 93.251456
1242.000000, 92.597882
1238.000000, 91.857381
1234.000000, 90.978744
1230.000000, 89.703391
1226.000000, 87.937130
1222.000000, 86.032017
1218.000000, 84.219380
1214.000000, 82.783618
1210.000000, 82.079154
1206.000000, 82.221806
1202.000000, 83.038675
1198.000000, 83.847900
1194.000000, 84.850295
1190.000000, 85.599602
1186.000000, 86.728190
1182.000000, 87.813606
1178.000000, 88.243824
1174.000000, 88.243812
1170.000000, 88.051680
1166.000000, 87.554886
1162.000000, 86.789567
1158.000000, 84.819509
1154.000000, 81.490739
1150.000000, 76.887055
1146.000000, 73.840170
1142.000000, 74.359018
1138.000000, 78.348760
1134.000000, 83.676360
1130.000000, 88.166935
1126.000000, 91.209093
1122.000000, 93.320587
1118.000000, 94.440275
1114.000000, 95.190041
1110.000000, 95.889106
1106.000000, 96.280209
1102.000000, 96.531422
1098.000000, 96.348316
1094.000000, 96.395970
1090.000000, 96.426822
1086.000000, 96.751556
1082.000000, 96.862038
1078.000000, 96.678562
1074.000000, 96.635383
1070.000000, 96.809886
1066.000000, 96.853682
1062.000000, 96.749156
1058.000000, 96.894404
1054.000000, 96.824036
1050.000000, 96.330340
1046.000000, 96.266625
1042.000000, 96.336861
1038.000000, 96.318011
1034.000000, 96.310678
1030.000000, 96.315113
1026.000000, 96.642506
1022.000000, 96.835863
1018.000000, 96.559068
1014.000000, 96.269594
1010.000000, 96.306565
1006.000000, 96.487444
1002.000000, 96.634138
998.000000, 96.731274
994.000000, 97.060761
990.000000, 96.907695
986.000000, 96.848324
982.000000, 97.466267
978.000000, 96.925526
974.000000, 96.758556
970.000000, 96.954114
966.000000, 97.270253
962.000000, 97.493683
958.000000, 97.300724
954.000000, 97.138296
950.000000, 96.608693
