nm, %R
1650.000000, 83.954326
1646.000000, 85.977903
1642.000000, 86.764158
1638.000000, 87.324835
1634.000000, 86.817580
1630.000000, 87.687904
1626.000000, 87.943054
1622.000000, 88.331741
1618.000000, 88.195244
1614.000000, 87.526441
1610.000000, 87.598719
1606.000000, 87.984209
1602.000000, 88.730333
1598.000000, 88.112457
1594.000000, 88.203968
1590.000000, 87.578386
1586.000000, 88.432057
1582.000000, 87.808642
1578.000000, 88.419191
1574.000000, 87.746179
1570.000000, 87.983993
1566.000000, 87.928466
1562.000000, 88.496678
1558.000000, 88.010431
1554.000000, 87.495546
1550.000000, 87.999792
1546.000000, 87.538748
1542.000000, 88.042519
1538.000000, 87.615294
1534.000000, 88.219429
1530.000000, 87.374385
1526.000000, 87.852877
1522.000000, 87.695969
1518.000000, 87.860692
1514.000000, 87.399456
1510.000000, 87.254153
1506.000000, 87.019863
1502.000000, 87.073055
1498.000000, 87.396928
1494.000000, 86.761009
1490.000000, 87.327594
1486.000000, 87.235782
1482.000000, 86.792677
1478.000000, 86.534255
1474.000000, 86.253934
1470.000000, 86.256959
1466.000000, 86.101553
1462.000000, 86.136295
1458.000000, 85.369327
1454.000000, 85.619897
1450.000000, 85.575896
1446.000000, 85.532336
1442.000000, 85.277334
1438.000000, 85.349388
1434.000000, 84.843935
1430.000000, 84.743548
1426.000000, 84.851118
1422.000000, 85.259923
1418.000000, 85.267187
1414.000000, 85.403040
1410.000000, 85.437723
1406.000000, 85.558154
1402.000000, 85.449068
1398.000000, 85.752031
1394.000000, 85.516037
1390.000000, 85.256683
1386.000000, 85.747904
1382.000000, 86.313999
1378.000000, 86.178901
1374.000000, 86.565239
1370.000000, 86.589114
1366.000000, 86.776116
1362.000000, 86.805496
1358.000000, 87.097329
1354.000000, 87.384845
1350.000000, 87.455172
1346.000000, 87.766614
1342.000000, 88.061559
1338.000000, 88.477576
1334.000000, 88.460101
1330.000000, 88.269196
1326.000000, 88.518671
1322.000000, 88.612457
1318.000000, 88.767167
1314.000000, 88.866478
1310.000000, 88.963391
1306.000000, 88.693766
1302.000000, 88.522868
1298.000000, 88.129931
1294.000000, 88.427567
1290.000000, 88.363017
1286.000000, 88.433646
1282.000000, 88.423947
1278.000000, 88.539203
1274.000000, 88.493304
1270.000000, 88.297679
1266.000000, 88.432392
1262.000000, 88.523898
1258.000000, 88.380071
1254.000000, 88.235460
1250.000000, 88.286318
1246.000000, 87.976245
1242.000000, 88.241324
1238.000000, 87.976283
1234.000000, 87.875241
1230.000000, 87.728276
1226.000000, 87.442344
1222.000000, 87.469768
1218.000000, 87.321420
1214.000000, 86.917294
1210.000000, 86.345849
1206.000000, 86.339703
1202.000000, 86.075968
1198.000000, 85.868356
1194.000000, 85.643710
1190.000000, 85.631336
1186.000000, 85.420884
1182.000000, 85.243940
1178.000000, 85.683398
1174.000000, 86.339870
1170.000000, 86.333839
1166.000000, 86.559860
1162.000000, 87.020172
1158.000000, 87.086392
1154.000000, 87.193998
1150.000000, 87.207312
1146.000000, 87.564988
1142.000000, 87.916624
1138.000000, 87.904879
1134.000000, 88.056553
1130.000000, 88.092049
1126.000000, 88.204021
1122.000000, 88.320618
1118.000000, 88.233876
1114.000000, 88.492497
1110.000000, 88.659649
1106.000000, 88.683848
1102.000000, 88.750869
1098.000000, 88.664892
1094.000000, 88.892650
1090.000000, 88.492408
1086.000000, 88.507928
1082.000000, 88.527604
1078.000000, 88.569319
1074.000000, 88.651279
1070.000000, 88.666592
1066.000000, 88.804947
1062.000000, 88.566930
1058.000000, 88.607470
1054.000000, 88.731162
1050.000000, 88.687355
1046.000000, 88.564693
1042.000000, 88.760088
1038.000000, 88.384351
1034.000000, 88.297373
1030.000000, 88.681253
1026.000000, 88.987992
1022.000000, 88.345737
1018.000000, 88.011843
1014.000000, 88.260196
1010.000000, 88.273402
1006.000000, 88.323016
1002.000000, 88.532395
998.000000, 88.618978
994.000000, 88.232357
990.000000, 88.547409
986.000000, 88.478784
982.000000, 88.756283
978.000000, 88.823885
974.000000, 88.756782
970.000000, 88.375383
966.000000, 89.564908
962.000000, 89.149454
958.000000, 88.185802
954.000000, 88.114232
950.000000, 89.111838
