nm, %R
1650.000000, 84.288159
1646.000000, 86.690854
1642.000000, 88.899845
1638.000000, 90.658334
1634.000000, 91.984526
1630.000000, 92.799219
1626.000000, 93.358241
1622.000000, 93.724489
1618.000000, 93.938748
1614.000000, 94.144447
1610.000000, 94.517010
1606.000000, 94.819637
1602.000000, 95.047469
1598.000000, 95.137350
1594.000000, 95.223858
1590.000000, 95.323168
1586.000000, 95.269913
1582.000000, 95.306668
1578.000000, 95.350044
1574.000000, 95.413594
1570.000000, 95.439133
1566.000000, 95.390471
1562.000000, 95.407450
1558.000000, 95.431336
1554.000000, 95.436823
1550.000000, 95.407836
1546.000000, 95.413517
1542.000000, 95.475206
1538.000000, 95.414882
1534.000000, 95.421206
1530.000000, 95.448173
1526.000000, 95.412374
1522.000000, 95.364005
1518.000000, 95.300059
1514.000000, 95.240443
1510.000000, 95.227052
1506.000000, 95.147033
1502.000000, 95.088341
1498.000000, 94.940292
1494.000000, 94.881405
1490.000000, 94.787660
1486.000000, 94.668953
1482.000000, 94.526115
1478.000000, 94.382000
1474.000000, 94.177354
1470.000000, 93.974437
1466.000000, 93.737023
1462.000000, 93.580064
1458.000000, 93.511457
1454.000000, 93.375234
1450.000000, 93.261506
1446.000000, 93.092002
1442.000000, 92.955689
1438.000000, 92.787404
1434.000000, 92.644035
1430.000000, 92.488600
1426.000000, 92.421059
1422.000000, 92.399882
1418.000000, 92.464058
1414.000000, 92.552115
1410.000000, 92.646152
1406.000000, 92.803435
1402.000000, 93.010775
1398.000000, 93.202960
1394.000000, 93.395802
1390.000000, 93.559253
1386.000000, 93.652420
1382.000000, 93.591345
1378.000000, 93.465579
1374.000000, 93.643198
1370.000000, 94.017786
1366.000000, 94.223637
1362.000000, 94.251209
1358.000000, 94.258948
1354.000000, 94.437113
1350.000000, 94.784446
1346.000000, 95.189606
1342.000000, 95.551093
1338.000000, 95.905897
1334.000000, 96.138749
1330.000000, 96.244115
1326.000000, 96.328422
1322.000000, 96.389730
1318.000000, 96.413231
1314.000000, 96.428886
1310.000000, 96.430199
1306.000000, 96.441858
1302.000000, 96.463304
1298.000000, 96.496711
1294.000000, 96.492500
1290.000000, 96.499071
1286.000000, 96.546178
1282.000000, 96.564193
1278.000000, 96.532505
1274.000000, 96.500681
1270.000000, 96.515688
1266.000000, 96.497904
1262.000000, 96.452920
1258.000000, 96.407036
1254.000000, 96.375743
1250.000000, 96.373979
1246.000000, 96.374517
1242.000000, 96.336021
1238.000000, 96.243292
1234.000000, 96.169663
1230.000000, 96.042512
1226.000000, 95.880455
1222.000000, 95.740436
1218.000000, 95.609114
1214.000000, 95.483441
1210.000000, 95.323535
1206.000000, 95.186845
1202.000000, 95.105905
1198.000000, 94.920956
1194.000000, 94.670593
1190.000000, 94.392112
1186.000000, 94.182236
1182.000000, 94.123078
1178.000000, 94.168467
1174.000000, 94.281184
1170.000000, 94.460406
1166.000000, 94.665450
1162.000000, 94.893671
1158.000000, 95.092438
1154.000000, 95.254622
1150.000000, 95.372026
1146.000000, 95.505054
1142.000000, 95.527234
1138.000000, 95.362321
1134.000000, 95.214823
1130.000000, 95.173098
1126.000000, 95.322152
1122.000000, 95.609694
1118.000000, 95.910966
1114.000000, 96.225361
1110.000000, 96.482338
1106.000000, 96.645879
1102.000000, 96.736289
1098.000000, 96.773581
1094.000000, 96.808413
1090.000000, 96.841590
1086.000000, 96.848817
1082.000000, 96.843121
1078.000000, 96.870458
1074.000000, 96.886392
1070.000000, 96.874975
1066.000000, 96.864037
1062.000000, 96.875515
1058.000000, 96.876423
1054.000000, 96.863047
1050.000000, 96.841189
1046.000000, 96.856843
1042.000000, 96.864293
1038.000000, 96.869559
1034.000000, 96.830098
1030.000000, 96.797162
1026.000000, 96.804449
1022.000000, 96.837884
1018.000000, 96.854947
1014.000000, 96.831780
1010.000000, 96.848204
1006.000000, 96.892555
1002.000000, 96.932218
998.000000, 96.920329
994.000000, 96.889560
990.000000, 96.900110
986.000000, 96.968292
982.000000, 96.974280
978.000000, 96.960221
974.000000, 96.978830
970.000000, 96.987780
966.000000, 97.037484
962.000000, 97.024375
958.000000, 97.102290
954.000000, 97.097994
950.000000, 97.107950
