nm, %R
1650.000000, 83.477811
1646.000000, 84.347192
1642.000000, 85.133123
1638.000000, 85.290032
1634.000000, 86.504481
1630.000000, 87.093896
1626.000000, 87.385602
1622.000000, 87.008676
1618.000000, 86.771370
1614.000000, 88.539973
1610.000000, 88.339423
1606.000000, 89.008703
1602.000000, 88.538058
1598.000000, 88.893290
1594.000000, 88.487861
1590.000000, 89.132250
1586.000000, 88.631273
1582.000000, 89.242939
1578.000000, 89.005388
1574.000000, 88.735022
1570.000000, 89.053119
1566.000000, 88.877988
1562.000000, 88.779996
1558.000000, 88.806559
1554.000000, 89.168632
1550.000000, 88.805277
1546.000000, 89.418843
1542.000000, 89.221183
1538.000000, 89.460465
1534.000000, 89.500510
1530.000000, 89.577271
1526.000000, 89.414493
1522.000000, 89.501210
1518.000000, 89.398591
1514.000000, 89.030277
1510.000000, 89.145202
1506.000000, 89.262556
1502.000000, 89.017251
1498.000000, 88.756969
1494.000000, 88.241658
1490.000000, 88.227967
1486.000000, 88.291677
1482.000000, 88.018593
1478.000000, 87.416149
1474.000000, 87.051880
1470.000000, 86.284957
1466.000000, 86.280770
1462.000000, 85.445604
1458.000000, 85.001804
1454.000000, 84.687104
1450.000000, 84.036923
1446.000000, 83.690245
1442.000000, 83.400539
1438.000000, 83.437017
1434.000000, 82.822408
1430.000000, 82.318931
1426.000000, 81.149361
1422.000000, 81.043714
1418.000000, 81.243762
1414.000000, 81.753024
1410.000000, 81.566637
1406.000000, 81.247377
1402.000000, 80.637468
1398.000000, 80.671027
1394.000000, 79.574049
1390.000000, 79.259037
1386.000000, 80.165407
1382.000000, 80.573130
1378.000000, 80.582146
1374.000000, 80.815928
1370.000000, 82.671735
1366.000000, 84.875650
1362.000000, 86.047423
1358.000000, 86.987304
1354.000000, 87.757617
1350.000000, 89.090702
1346.000000, 91.146673
1342.000000, 92.864789
1338.000000, 93.492165
1334.000000, 93.966946
1330.000000, 94.079163
1326.000000, 94.014827
1322.000000, 94.209899
1318.000000, 94.390932
1314.000000, 94.511162
1310.000000, 94.768419
1306.000000, 94.630845
1302.000000, 94.541688
1298.000000, 94.755009
1294.000000, 94.972879
1290.000000, 94.782058
1286.000000, 94.518225
1282.000000, 94.517716
1278.000000, 94.612331
1274.000000, 94.371169
1270.000000, 94.331669
1266.000000, 94.172088
1262.000000, 94.144228
1258.000000, 94.081629
1254.000000, 93.912426
1250.000000, 93.822580
1246.000000, 93.560333
1242.000000, 93.254477
1238.000000, 92.949197
1234.000000, 92.765378
1230.000000, 92.577025
1226.000000, 91.899269
1222.000000, 91.242347
1218.000000, 90.734670
1214.000000, 89.824278
1210.000000, 88.841219
1206.000000, 87.834124
1202.000000, 86.536370
1198.000000, 84.817880
1194.000000, 83.211108
1190.000000, 80.834804
1186.000000, 78.789971
1182.000000, 78.413871
1178.000000, 79.197621
1174.000000, 80.472719
1170.000000, 82.366283
1166.000000, 83.540967
1162.000000, 84.670034
1158.000000, 86.306910
1154.000000, 87.766315
1150.000000, 88.727395
1146.000000, 89.525943
1142.000000, 90.238536
1138.000000, 91.203461
1134.000000, 92.186983
1130.000000, 93.119294
1126.000000, 93.694729
1122.000000, 94.157692
1118.000000, 94.316366
1114.000000, 94.318073
1110.000000, 94.551887
1106.000000, 94.804360
1102.000000, 94.963420
1098.000000, 94.835532
1094.000000, 94.820427
1090.000000, 94.669086
1086.000000, 94.837817
1082.000000, 94.959545
1078.000000, 94.818327
1074.000000, 94.901465
1070.000000, 94.909431
1066.000000, 94.824916
1062.000000, 94.972236
1058.000000, 94.598922
1054.000000, 94.416827
1050.000000, 94.373488
1046.000000, 94.196748
1042.000000, 94.385023
1038.000000, 94.452760
1034.000000, 94.243378
1030.000000, 94.038357
1026.000000, 94.339453
1022.000000, 94.572972
1018.000000, 94.445396
1014.000000, 94.063537
1010.000000, 94.105588
1006.000000, 94.075087
1002.000000, 94.260224
998.000000, 94.584985
994.000000, 94.647068
990.000000, 94.664727
986.000000, 95.038518
982.000000, 94.537769
978.000000, 94.124173
974.000000, 94.099996
970.000000, 94.696112
966.000000, 94.584279
962.000000, 94.705056
958.000000, 94.933301
954.000000, 94.423067
950.000000, 94.395390
