nm, %R
1650.000000, 92.351227
1646.000000, 94.526814
1642.000000, 95.837424
1638.000000, 96.506760
1634.000000, 96.916848
1630.000000, 97.212092
1626.000000, 97.388369
1622.000000, 97.559543
1618.000000, 97.622484
1614.000000, 97.625040
1610.000000, 97.738029
1606.000000, 97.891714
1602.000000, 98.053518
1598.000000, 98.257429
1594.000000, 98.485997
1590.000000, 98.587059
1586.000000, 98.763339
1582.000000, 98.876342
1578.000000, 98.877886
1574.000000, 98.927997
1570.000000, 99.022155
1566.000000, 99.018975
1562.000000, 98.983612
1558.000000, 98.983608
1554.000000, 98.993998
1550.000000, 98.988771
1546.000000, 99.010209
1542.000000, 98.948989
1538.000000, 99.002783
1534.000000, 98.889743
1530.000000, 98.930239
1526.000000, 98.976618
1522.000000, 98.970220
1518.000000, 98.960560
1514.000000, 98.902714
1510.000000, 98.859499
1506.000000, 98.894541
1502.000000, 98.841094
1498.000000, 98.720164
1494.000000, 98.591384
1490.000000, 98.407548
1486.000000, 98.331974
1482.000000, 98.128950
1478.000000, 98.015155
1474.000000, 97.839841
1470.000000, 97.649800
1466.000000, 97.389624
1462.000000, 97.101605
1458.000000, 96.893784
1454.000000, 96.716662
1450.000000, 96.526501
1446.000000, 96.384514
1442.000000, 96.200340
1438.000000, 96.112701
1434.000000, 96.087150
1430.000000, 96.037869
1426.000000, 95.877796
1422.000000, 95.784351
1418.000000, 95.625367
1414.000000, 95.441098
1410.000000, 95.297357
1406.000000, 95.140410
1402.000000, 95.098306
1398.000000, 95.111126
1394.000000, 95.182706
1390.000000, 95.275791
1386.000000, 95.247802
1382.000000, 95.167976
1378.000000, 95.055031
1374.000000, 94.994933
1370.000000, 95.093350
1366.000000, 95.367502
1362.000000, 95.751658
1358.000000, 96.140444
1354.000000, 96.534241
1350.000000, 96.954853
1346.000000, 97.360890
1342.000000, 97.807475
1338.000000, 98.281604
1334.000000, 98.824421
1330.000000, 99.343300
1326.000000, 99.711968
1322.000000, 99.908774
1318.000000, 100.059585
1314.000000, 100.100848
1310.000000, 100.131211
1306.000000, 100.144720
1302.000000, 100.164115
1298.000000, 100.183278
1294.000000, 100.243604
1290.000000, 100.289743
1286.000000, 100.288458
1282.000000, 100.335199
1278.000000, 100.345214
1274.000000, 100.331131
1270.000000, 100.284282
1266.000000, 100.277328
1262.000000, 100.245368
1258.000000, 100.198482
1254.000000, 100.141353
1250.000000, 100.137061
1246.000000, 100.154071
1242.000000, 100.151961
1238.000000, 100.123515
1234.000000, 100.089849
1230.000000, 99.995855
1226.000000, 99.925730
1222.000000, 99.866570
1218.000000, 99.742926
1214.000000, 99.612087
1210.000000, 99.429403
1206.000000, 99.252212
1202.000000, 99.056903
1198.000000, 98.835015
1194.000000, 98.603504
1190.000000, 98.296770
1186.000000, 97.872752
1182.000000, 97.312657
1178.000000, 96.752173
1174.000000, 96.249519
1170.000000, 95.895909
1166.000000, 95.882348
1162.000000, 96.160962
1158.000000, 96.605059
1154.000000, 97.175254
1150.000000, 97.762830
1146.000000, 98.312701
1142.000000, 98.738371
1138.000000, 99.060662
1134.000000, 99.339231
1130.000000, 99.523856
1126.000000, 99.748211
1122.000000, 100.033191
1118.000000, 100.243349
1114.000000, 100.454943
1110.000000, 100.658946
1106.000000, 100.734718
1102.000000, 100.726996
1098.000000, 100.757324
1094.000000, 100.787483
1090.000000, 100.797430
1086.000000, 100.862449
1082.000000, 100.903043
1078.000000, 100.859670
1074.000000, 100.864602
1070.000000, 100.874200
1066.000000, 100.820924
1062.000000, 100.798889
1058.000000, 100.793803
1054.000000, 100.742325
1050.000000, 100.686600
1046.000000, 100.680527
1042.000000, 100.718110
1038.000000, 100.702331
1034.000000, 100.668033
1030.000000, 100.707312
1026.000000, 100.631011
1022.000000, 100.482753
1018.000000, 100.444595
1014.000000, 100.439611
1010.000000, 100.420646
1006.000000, 100.382448
1002.000000, 100.325619
998.000000, 100.261123
994.000000, 100.301809
990.000000, 100.296941
986.000000, 100.198539
982.000000, 100.264372
978.000000, 100.287342
974.000000, 100.263969
970.000000, 100.220531
966.000000, 100.330256
962.000000, 100.294935
958.000000, 100.280589
954.000000, 100.356165
950.000000, 100.181840
